Date,Open,High,Low,Close,Adj Close,Volume
2022-03-05,0.060484,0.060734,0.060390,0.060396,0.060396,1242664
2022-03-06,0.060396,0.060712,0.058954,0.058955,0.058955,1147624
2022-03-07,0.058956,0.060431,0.058014,0.058566,0.058566,1896907
2022-03-08,0.058564,0.060910,0.058564,0.060757,0.060757,1658131
2022-03-09,0.060757,0.062442,0.060578,0.060668,0.060668,2175214
2022-03-10,0.060668,0.060709,0.058050,0.059843,0.059843,1858501
2022-03-11,0.059843,0.060710,0.059171,0.060440,0.060440,1303350
2022-03-12,0.060441,0.060547,0.059756,0.059790,0.059790,561360
2022-03-13,0.059789,0.060098,0.059117,0.059168,0.059168,737720
2022-03-14,0.059168,0.060235,0.059119,0.060149,0.060149,777372
2022-03-15,0.060149,0.060569,0.059750,0.060491,0.060491,789609
2022-03-16,0.060491,0.061340,0.059684,0.060910,0.060910,1338086
2022-03-17,0.060910,0.060952,0.060747,0.060861,0.060861,223365
2022-03-18,0.060860,0.061657,0.060246,0.061656,0.061656,787567
2022-03-19,0.061657,0.061986,0.061435,0.061704,0.061704,439634
2022-03-20,0.061704,0.062296,0.060935,0.061549,0.061549,1089969
2022-03-21,0.061549,0.061684,0.060984,0.061638,0.061638,638991
2022-03-22,0.061638,0.063756,0.061577,0.063238,0.063238,1190914
2022-03-23,0.063239,0.064702,0.063238,0.064222,0.064222,1426170
2022-03-24,0.064225,0.065741,0.063845,0.065606,0.065606,1541641
2022-03-25,0.065606,0.066481,0.064073,0.064579,0.064579,1330499
2022-03-26,0.064581,0.066015,0.064072,0.066007,0.066007,771033
2022-03-27,0.066007,0.069195,0.066007,0.069088,0.069088,2211063
2022-03-28,0.069087,0.071735,0.068847,0.068906,0.068906,2411396
2022-03-29,0.068905,0.072233,0.068614,0.069169,0.069169,2680659
2022-03-30,0.069168,0.074194,0.067782,0.073162,0.073162,4713754
2022-03-31,0.073162,0.079317,0.073160,0.073741,0.073741,7567278
2022-04-01,0.073742,0.074872,0.071619,0.074655,0.074655,3103260
2022-04-02,0.074655,0.076197,0.073102,0.073334,0.073334,2140077
2022-04-03,0.073334,0.073475,0.072365,0.073142,0.073142,1081640
2022-04-04,0.073142,0.073142,0.069076,0.070872,0.070872,1836048
2022-04-05,0.070871,0.071554,0.069470,0.069470,0.069470,1158842
2022-04-06,0.069470,0.069475,0.063256,0.063256,0.063256,3230909
2022-04-07,0.063255,0.064595,0.062893,0.064462,0.064462,2418304
2022-04-08,0.064462,0.064997,0.062354,0.062386,0.062386,2177919
2022-04-09,0.062388,0.063838,0.062387,0.063827,0.063827,1338307
2022-04-10,0.063827,0.064246,0.062387,0.062447,0.062447,1250991
2022-04-11,0.062447,0.062450,0.057949,0.058221,0.058221,2338105
2022-04-12,0.058222,0.060214,0.057992,0.059939,0.059939,1509135
2022-04-13,0.059939,0.061328,0.059543,0.061323,0.061323,1147581
2022-04-14,0.061323,0.061729,0.059608,0.060004,0.060004,1189278
2022-04-15,0.060004,0.062018,0.060000,0.061926,0.061926,885534
2022-04-16,0.061926,0.062051,0.061180,0.062044,0.062044,633122
2022-04-17,0.062043,0.062695,0.060096,0.060099,0.060099,904619
2022-04-18,0.060099,0.061468,0.059089,0.061425,0.061425,1532610
2022-04-19,0.061425,0.063404,0.061339,0.063299,0.063299,749970
2022-04-20,0.063300,0.063301,0.062025,0.062715,0.062715,925011
2022-04-21,0.062715,0.073948,0.062642,0.071664,0.071664,11885764
2022-04-22,0.071662,0.072063,0.066619,0.066723,0.066723,7508945
